/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 15/01/2017 at 00:32:00
 *********************************************/

nP = 11;        // number of destination points
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 3 6 14 5 19 10 3 13 10 8 2 0 ];

              //  min  max
task_window = [[  262  302 ] // 1 
               [   94  140 ] // 2 
               [   92  176 ] // 3 
               [   71  118 ] // 4 
               [   69  128 ] // 5 
               [  181  241 ] // 6 
               [   77  117 ] // 7 
               [   81  154 ] // 8 
               [   70  150 ] // 9 
               [  161  209 ] // 10 
               [  138  183 ] // 11 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11     S 
dist = [[     0    54   113    28     5    77    54   118    67    57   114    34  ] // 1
        [    54     0    17    17   118    24    72     7    17    15    99   120  ] // 2
        [   113    17     0    71    53    32   105    40    27    74    68    48  ] // 3
        [    28    17    71     0    10    95    23    55   104    22   104   115  ] // 4
        [     5   118    53    10     0   116    80    73    36    55    29   103  ] // 5
        [    77    24    32    95   116     0    87    81    76    50   120    32  ] // 6
        [    54    72   105    23    80    87     0    12    32     2    74   118  ] // 7
        [   118     7    40    55    73    81    12     0   109   101    50   103  ] // 8
        [    67    17    27   104    36    76    32   109     0    41   114     9  ] // 9
        [    57    15    74    22    55    50     2   101    41     0    25    67  ] // 10
        [   114    99    68   104    29   120    74    50   114    25     0    35  ] // 11
        [    34   120    48   115   103    32   118   103     9    67    35     0  ] // S
];
