/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 14/01/2017 at 22:59:39
 *********************************************/

nP = 12;        // number of destination points
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 19 12 7 3 14 19 8 17 10 12 4 4 0 ];

              //  min  max
task_window = [[   66  125 ] // 1 
               [  107  159 ] // 2 
               [   74  118 ] // 3 
               [   71  114 ] // 4 
               [   81  155 ] // 5 
               [   93  162 ] // 6 
               [   90  148 ] // 7 
               [   68  145 ] // 8 
               [   74  174 ] // 9 
               [  234  286 ] // 10 
               [   95  137 ] // 11 
               [   81  122 ] // 12 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12     S 
dist = [[     0   105     6    99   111    80   119    87    93     9    98    30    13  ] // 1
        [   105     0    24   106   100   107    40    26   116    51    61    58    19  ] // 2
        [     6    24     0   101    16    96    25    70    61    86    80    23    46  ] // 3
        [    99   106   101     0    37    66    38    60    86   114    14    74    15  ] // 4
        [   111   100    16    37     0    21    10    66    78    17   115    77    30  ] // 5
        [    80   107    96    66    21     0    58    93    92    84    78    40   111  ] // 6
        [   119    40    25    38    10    58     0    64    17    65   108     5    48  ] // 7
        [    87    26    70    60    66    93    64     0    13    70     9    78    67  ] // 8
        [    93   116    61    86    78    92    17    13     0    90   103    49    37  ] // 9
        [     9    51    86   114    17    84    65    70    90     0    41    29   113  ] // 10
        [    98    61    80    14   115    78   108     9   103    41     0   103    14  ] // 11
        [    30    58    23    74    77    40     5    78    49    29   103     0    54  ] // 12
        [    13    19    46    15    30   111    48    67    37   113    14    54     0  ] // S
];
