/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 14/01/2017 at 22:59:55
 *********************************************/

nP = 13;        // number of destination points
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 6 14 7 1 15 19 15 6 12 2 15 11 9 0 ];

              //  min  max
task_window = [[  235  281 ] // 1 
               [  149  213 ] // 2 
               [   68  115 ] // 3 
               [   86  127 ] // 4 
               [   88  173 ] // 5 
               [   89  188 ] // 6 
               [   66  121 ] // 7 
               [   71  112 ] // 8 
               [  132  184 ] // 9 
               [   77  122 ] // 10 
               [   76  161 ] // 11 
               [   68  129 ] // 12 
               [   88  135 ] // 13 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12    13     S 
dist = [[     0   105    62    21    19    16    73   110    12     7    10   109    17   120  ] // 1
        [   105     0    20    25    22    21    41   120    18    52    77    69    44    24  ] // 2
        [    62    20     0    61   117   118     5    22    91   106   109   113    72    93  ] // 3
        [    21    25    61     0    76    24    14    90    46    90    74    53    67    44  ] // 4
        [    19    22   117    76     0    52    33    91   111    10     8    35    41     4  ] // 5
        [    16    21   118    24    52     0    28    71   107    83    97    55    73    43  ] // 6
        [    73    41     5    14    33    28     0    87    10     2    33    10    17    99  ] // 7
        [   110   120    22    90    91    71    87     0    74    70    75   104    53     2  ] // 8
        [    12    18    91    46   111   107    10    74     0    86    50    72    49    14  ] // 9
        [     7    52   106    90    10    83     2    70    86     0   102    33    21    72  ] // 10
        [    10    77   109    74     8    97    33    75    50   102     0    83    87     6  ] // 11
        [   109    69   113    53    35    55    10   104    72    33    83     0    78   115  ] // 12
        [    17    44    72    67    41    73    17    53    49    21    87    78     0    94  ] // 13
        [   120    24    93    44     4    43    99     2    14    72     6   115    94     0  ] // S
];
