/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 15/01/2017 at 00:35:23
 *********************************************/

nP = 14;         // number of destination points 
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 6 19 8 9 2 17 16 6 12 6 12 18 6 2 0 ];

              //  min  max
task_window = [[  238  279 ] // 1 
               [   86  155 ] // 2 
               [   95  141 ] // 3 
               [   85  134 ] // 4 
               [   69  114 ] // 5 
               [   87  154 ] // 6 
               [  245  341 ] // 7 
               [   95  136 ] // 8 
               [   97  149 ] // 9 
               [   85  128 ] // 10 
               [   82  144 ] // 11 
               [   75  163 ] // 12 
               [   81  127 ] // 13 
               [   98  143 ] // 14 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12    13    14     S 
dist = [[     0    33    37   109   109    50    75    42     4    26    69    73   110    62    71  ] // 1
        [    33     0   105    72    47   101   100    91    84   110    75    42   108    66     2  ] // 2
        [    37   105     0    48    72   117   115    95    75    93    48    82    85    83     7  ] // 3
        [   109    72    48     0    98    21    88   118    10    57     1    87    59    52   114  ] // 4
        [   109    47    72    98     0    86    99    15     1    78    27    52    50     4     3  ] // 5
        [    50   101   117    21    86     0    47    81   115   116    35   101    52    97    31  ] // 6
        [    75   100   115    88    99    47     0    25    66     9    14    21   119   100   117  ] // 7
        [    42    91    95   118    15    81    25     0    38   100   113    47    39    81    29  ] // 8
        [     4    84    75    10     1   115    66    38     0    39   119    15    33    25    99  ] // 9
        [    26   110    93    57    78   116     9   100    39     0    86   113    31    99   102  ] // 10
        [    69    75    48     1    27    35    14   113   119    86     0    98   109    15    99  ] // 11
        [    73    42    82    87    52   101    21    47    15   113    98     0   104    97    13  ] // 12
        [   110   108    85    59    50    52   119    39    33    31   109   104     0    54   105  ] // 13
        [    62    66    83    52     4    97   100    81    25    99    15    97    54     0   110  ] // 14
        [    71     2     7   114     3    31   117    29    99   102    99    13   105   110     0  ] // S
];
