/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 15/01/2017 at 21:50:37
 *********************************************/

nP = 14;         // number of destination points 
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 11 2 10 1 17 17 5 1 3 12 6 1 17 4 2 ];

              //  min  max
task_window = [[  265  326 ] // 1 
               [   82  127 ] // 2 
               [   78  138 ] // 3 
               [   73  118 ] // 4 
               [   97  164 ] // 5 
               [  134  201 ] // 6 
               [   82  114 ] // 7 
               [   99  154 ] // 8 
               [   85  136 ] // 9 
               [   82  144 ] // 10 
               [   92  145 ] // 11 
               [   85  156 ] // 12 
               [  134  191 ] // 13 
               [   68  112 ] // 14 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12    13    14     S 
dist = [[     0    42     5    21     4    93    81    52   108   103   108    47   102    88    60  ] // 1
        [    42     0     3    45     1     5    58    90     2    74    17    77   108    58    21  ] // 2
        [     5     3     0    23    58    76    91    57   119   104    69    83    70    12    49  ] // 3
        [    21    45    23     0    49    28    98    92    79    55    21    38    24   110    55  ] // 4
        [     4     1    58    49     0   105    88    40    19     7    38    14    92    52    79  ] // 5
        [    93     5    76    28   105     0    30    11   108    83    45    69    55    76   117  ] // 6
        [    81    58    91    98    88    30     0    15    23   115    54   108     5    35    35  ] // 7
        [    52    90    57    92    40    11    15     0    53    96    40    70    58    94   100  ] // 8
        [   108     2   119    79    19   108    23    53     0    42    71    27    36    12    33  ] // 9
        [   103    74   104    55     7    83   115    96    42     0     5    18    38    24   111  ] // 10
        [   108    17    69    21    38    45    54    40    71     5     0    14     9    57    76  ] // 11
        [    47    77    83    38    14    69   108    70    27    18    14     0    92    41     2  ] // 12
        [   102   108    70    24    92    55     5    58    36    38     9    92     0   101    65  ] // 13
        [    88    58    12   110    52    76    35    94    12    24    57    41   101     0    58  ] // 14
        [    60    21    49    55    79   117    35   100    33   111    76     2    65    58     0  ] // S
];
