/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 14/01/2017 at 23:00:37
 *********************************************/

nP = 15;         // number of destination points 
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 15 17 2 16 4 18 2 12 14 15 2 14 8 16 2 0 ];

              //  min  max
task_window = [[   67  122 ] // 1 
               [   70  137 ] // 2 
               [  137  182 ] // 3 
               [   95  191 ] // 4 
               [   71  113 ] // 5 
               [  104  182 ] // 6 
               [  170  215 ] // 7 
               [   67  119 ] // 8 
               [   74  128 ] // 9 
               [  122  217 ] // 10 
               [   90  135 ] // 11 
               [  132  196 ] // 12 
               [  192  238 ] // 13 
               [   97  193 ] // 14 
               [   84  130 ] // 15 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15     S 
dist = [[     0   116    91    34    10   104   116    62   107    83    34    70    42   113    16    68  ] // 1
        [   116     0    21    74   120    44     5    37    48   107    88    57   109    23   102     9  ] // 2
        [    91    21     0   115    15    76    53     6    33    37   117    62    19   109    49   100  ] // 3
        [    34    74   115     0   118    97    43   110    72    42    71    31   112    24    98    67  ] // 4
        [    10   120    15   118     0   105    44    27   100    20    24    35    57    92    38   109  ] // 5
        [   104    44    76    97   105     0    84     0     6    62    10   108    22    57    81     7  ] // 6
        [   116     5    53    43    44    84     0    75    25   111    57    42    76   112    85     3  ] // 7
        [    62    37     6   110    27     0    75     0    62    25     2    45    39    28    38    19  ] // 8
        [   107    48    33    72   100     6    25    62     0    60   115     9   103   100    26    63  ] // 9
        [    83   107    37    42    20    62   111    25    60     0     9   106    43   104    65   107  ] // 10
        [    34    88   117    71    24    10    57     2   115     9     0    57    78   101    31    63  ] // 11
        [    70    57    62    31    35   108    42    45     9   106    57     0    90    17   108    50  ] // 12
        [    42   109    19   112    57    22    76    39   103    43    78    90     0     6    58    48  ] // 13
        [   113    23   109    24    92    57   112    28   100   104   101    17     6     0    66   115  ] // 14
        [    16   102    49    98    38    81    85    38    26    65    31   108    58    66     0    11  ] // 15
        [    68     9   100    67   109     7     3    19    63   107    63    50    48   115    11     0  ] // S
];
