/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 14/01/2017 at 23:02:02
 *********************************************/

nP = 19;         // number of destination points 
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 15 13 16 14 19 19 9 4 13 17 6 14 1 17 9 8 11 11 6 0 ];

              //  min  max
task_window = [[   72  137 ] // 1 
               [  208  281 ] // 2 
               [  133  199 ] // 3 
               [   73  127 ] // 4 
               [  200  279 ] // 5 
               [  209  308 ] // 6 
               [   81  128 ] // 7 
               [   98  139 ] // 8 
               [   89  172 ] // 9 
               [   85  152 ] // 10 
               [   92  138 ] // 11 
               [  183  277 ] // 12 
               [   79  120 ] // 13 
               [  115  182 ] // 14 
               [  120  167 ] // 15 
               [  186  232 ] // 16 
               [   95  146 ] // 17 
               [  201  292 ] // 18 
               [   69  112 ] // 19 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19     S 
dist = [[     0     1   106    30    56   109   105    85    76   120    67    20    93    64   108    33   114    48    12   109  ] // 1
        [     1     0    71     2    79    69    80    74     4    89    21    79    66    31    87    62    36    75    17    20  ] // 2
        [   106    71     0    55    67    24    67    99    57   104    72    43    27    30   111   114   117    25    18    55  ] // 3
        [    30     2    55     0   107    36   100   106    83    45    92    84    88    24     6    19    14    19     4    35  ] // 4
        [    56    79    67   107     0   117    49    98    57    26    69    68    27    62   111    79    30    66    73    22  ] // 5
        [   109    69    24    36   117     0    93    98    31   116   116    37   107   117    23    49    88    88    27    85  ] // 6
        [   105    80    67   100    49    93     0   114    68    86    65   109   120    66    96   107   107     8   115    90  ] // 7
        [    85    74    99   106    98    98   114     0    17    55    14    22    77    50   104   113   119    69   113    94  ] // 8
        [    76     4    57    83    57    31    68    17     0   109    71    95    94     5    53    60     0   117     1    62  ] // 9
        [   120    89   104    45    26   116    86    55   109     0   110    84   111   120    43    68    55    23    62     5  ] // 10
        [    67    21    72    92    69   116    65    14    71   110     0   111    73    82     3   106    97    90    53    44  ] // 11
        [    20    79    43    84    68    37   109    22    95    84   111     0    13    41    31     0    31    12    69    63  ] // 12
        [    93    66    27    88    27   107   120    77    94   111    73    13     0    76    25   102    52    55   111   118  ] // 13
        [    64    31    30    24    62   117    66    50     5   120    82    41    76     0   113    97    95    62    79    76  ] // 14
        [   108    87   111     6   111    23    96   104    53    43     3    31    25   113     0    30    18     0    32    81  ] // 15
        [    33    62   114    19    79    49   107   113    60    68   106     0   102    97    30     0    29     5    50    72  ] // 16
        [   114    36   117    14    30    88   107   119     0    55    97    31    52    95    18    29     0    56    99   105  ] // 17
        [    48    75    25    19    66    88     8    69   117    23    90    12    55    62     0     5    56     0    81     5  ] // 18
        [    12    17    18     4    73    27   115   113     1    62    53    69   111    79    32    50    99    81     0    25  ] // 19
        [   109    20    55    35    22    85    90    94    62     5    44    63   118    76    81    72   105     5    25     0  ] // S
];
