/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 19/01/2017 at 14:20:48
 *********************************************/

nP = 50;         // number of destination points 
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 2 3 1 8 9 18 9 1 3 17 19 6 13 3 2 8 9 17 8 9 19 13 17 14 6 1 14 11 1 10 10 1 2 17 3 14 14 2 2 2 9 1 7 8 15 3 18 4 14 15 0 ];

              //  min  max
task_window = [[   83  125 ] // 1 
               [   72  112 ] // 2 
               [   84  125 ] // 3 
               [  138  178 ] // 4 
               [   94  134 ] // 5 
               [  156  214 ] // 6 
               [  252  301 ] // 7 
               [   79  120 ] // 8 
               [   87  130 ] // 9 
               [  190  287 ] // 10 
               [  175  234 ] // 11 
               [   84  127 ] // 12 
               [   94  147 ] // 13 
               [  217  260 ] // 14 
               [   66  113 ] // 15 
               [  225  270 ] // 16 
               [  166  208 ] // 17 
               [  158  235 ] // 18 
               [  209  249 ] // 19 
               [  148  197 ] // 20 
               [   93  162 ] // 21 
               [   70  153 ] // 22 
               [  193  280 ] // 23 
               [   80  134 ] // 24 
               [  264  305 ] // 25 
               [  201  246 ] // 26 
               [   79  163 ] // 27 
               [   74  165 ] // 28 
               [   82  123 ] // 29 
               [  252  332 ] // 30 
               [   66  146 ] // 31 
               [  147  188 ] // 32 
               [  128  170 ] // 33 
               [   93  160 ] // 34 
               [   65  105 ] // 35 
               [   86  150 ] // 36 
               [   93  167 ] // 37 
               [   95  141 ] // 38 
               [   99  144 ] // 39 
               [   80  127 ] // 40 
               [   65  105 ] // 41 
               [   93  134 ] // 42 
               [   88  133 ] // 43 
               [  149  192 ] // 44 
               [   92  177 ] // 45 
               [  121  166 ] // 46 
               [   99  197 ] // 47 
               [  189  230 ] // 48 
               [  248  342 ] // 49 
               [  136  201 ] // 50 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50     S 
dist = [[     0    97    40    12    42    48    27    24    96   120    97    89    36    41   103    87    54   101    60    26    19    55   102     9    40    32   100    92   100    31    29    82    53     6    47    93    80    41   119    68    31     7   101    41    28    31   120   118    12    53     3  ] // 1
        [    97     0     3   119    62    54    32    21    24    56    57   107     5    17    36    29   103   100    70    54    23    35    14   118    57    80    19    53    96   110   120   106    79   118    85   116   114    99    77    39    97   118   100    52     5   104   116    26     4    82    56  ] // 2
        [    40     3     0    41    29    90   103    28    15   101     4    77    42    51    14    78    80    55    94    58   108   118     8    70    63    33    68    49    16    81    19    36     8    28   112    93    72    35    72    26     3    85   118    90    53   116    42   109    49    71    14  ] // 3
        [    12   119    41     0   114   105    96   109    51    65    88    61     6   111    95    28   120   108    32    89    24    92    16     6   116     2    14    57     8    87     4    39     6   107    47    25    88    79    65   104    73   101    35    71    55    45   105    51    76    13    73  ] // 4
        [    42    62    29   114     0    97    40    57    50    10   115   102   104    53    19     1    44    80    87    20    15    17     9    55    26    33    45   119    64    90    41    45    27    71    84    70    66    55    60    17     8    71   107    88    89    11    46    84   105    62    21  ] // 5
        [    48    54    90   105    97     0    39    25    46    87    16    72    60    55    61    63    64    44   108    82   118   105    81   108   107    55    43    77    57   118    14    44   173    50   118    87    82    38    50    26    90    53   116    85    18    36    27    32    94    12    62  ] // 6
        [    27    32   103    96    40    39     0    69    95   115   107   113    42    11    23    95    57     9    61    33    94    25    22    50    15    37    76    59    46    87    51   210    51    62    18    81   108    85   114    17   110    63    43     5   113    45    22     5    93    76    51  ] // 7
        [    24    21    28   109    57    25    69     0   114    79     8    17   106    55    17    97   108    75    12   120    38     4    12    18    73    25    66     7    35    94    46    79     9    46    51    96    56    23    79   109    14   103    95    87     4   258   104     4    94    68    77  ] // 8
        [    96    24    15    51    50    46    95   114     0    72    14    25   101    83    95    18   104    23    21    47    73    56   115    30    75    36    51    50    74   100    45    56    85    27   107   115    61    53   101    13   114    72    43   104    36    21    22   102   104    64   107  ] // 9
        [   120    56   101    65    10    87   115    79    72     0   109   120     4    17    18    25    96    33    75    12   115   119    90   104    65    57    13    67    65    24    12    28    74    45    34    90    88    99    19   101    27    75    84    92     6    98    56    20    97    87    56  ] // 10
        [    97    57     4    88   115    16   107     8    14   109     0    81    76   317    27    56     3   119    71    60    98    24    36   109    74    58     3    54    59    44    57   107    87   109    70   112    31   113    67    85    95    25    73    84    70    72   100    63    97     7    29  ] // 11
        [    89   107    77    61   102    72   113    17    25   120    81     0    38    86   108     5    48    26    66    19    94    74    98    23    54    69    73    49   110   107    76    51    82   118    80   118    88     7    60    92    70    99   119     8    94   109    40   116   100   103   100  ] // 12
        [    36     5    42     6   104    60    42   106   101     4    76    38     0    19    99    58    69   102     9    73   116   112    50    14    12    29    14   187    85    95    47    86    39   119    63    92   110    97   105     9    88    80    83    20    78   114     7    88   100    71    96  ] // 13
        [    41    17    51   111    53    55    11    55    83    17   317    86    19     0   105    45    16    97    49    32    88    87    55   113    82    68    61     4    89    67    76    48    70    22    99    36    18    33    61     1    93     9    25    50    80    17    88    46    95    13   104  ] // 14
        [   103    36    14    95    19    61    23    17    95    18    27   108    99   105     0   107    27    92    30   104    48    47   109    75    64    93   115   109    94    17    69    29    93   119    14    95    37    59   104    90    71    22    38    38    87    84    76    47    23    62    59  ] // 15
        [    87    29    78    28     1    63    95    97    18    25    56     5    58    45   107     0    17    67    10     6    94    58    34    98   108   119    41    62   118    29    88     5    72    88    45    59    10   118    91    68    15    15    94    34    30    25   116    75   115   107    33  ] // 16
        [    54   103    80   120    44    64    57   108   104    96     3    48    69    16    27    17     0    83    12   117    58    37    82   107   106   105    94    24    20    13    12    52    43    89    46    87    58    56   291    62   116    33    68    49    72    88    21   116   106    20   116  ] // 17
        [   101   100    55   108    80    44     9    75    23    33   119    26   102    97    92    67    83     0    23    79    50    72   100    88    15    41    71    86    53     8    56    67    52    36   120    59    63    98     1     7    62    49    30     2    70    75    45    12    95   116    32  ] // 18
        [    60    70    94    32    87   108    61    12    21    75    71    66     9    49    30    10    12    23     0    67   108    67    42   120    23    16    83    99    98    59    41    34    49   117    11    10    25    61   116    36    22   112    28   112    29    75    13   104   108    98    33  ] // 19
        [    26    54    58    89    20    82    33   120    47    12    60    19    73    32   104     6   117    79    67     0   105    15    43    17    76    13    41    87    30   108    52    95     3    49    42   114    81    83    25    75    99    50    12    11   105    99    42   109    83   108   116  ] // 20
        [    19    23   108    24    15   118    94    38    73   115    98    94   116    88    48    94    58    50   108   105     0    37    92    99     8    84    62    16   120    37    85    44    65    47   111    26   100   114    99    49    44    85    21     1   107   114    39    75   110    94    35  ] // 21
        [    55    35   118    92    17   105    25     4    56   119    24    74   112    87    47    58    37    72    67    15    37     0    48    68    58   108    87    53    39    29    96   113    56    93   104    52   100    85    48    90    58    72   102    77    32    69    47     7    31     5   100  ] // 22
        [   102    14     8    16     9    81    22    12   115    90    36    98    50    55   109    34    82   100    42    43    92    48     0    82    30    21    99    62    94    52    63    22    68   118    41    87    98    24    72    38   112    82    49    17    98   101    83   108     8    59    77  ] // 23
        [     9   118    70     6    55   108    50    18    30   104   109    23    14   113    75    98   107    88   120    17    99    68    82     0    73   109    19    84     5   115    25     8    94    83   109   107    73     5   105    92    10    67    32    53     1     1   120    42    93    97    45  ] // 24
        [    40    57    63   116    26   107    15    73    75    65    74    54    12    82    64   108   106    15    23    76     8    58    30    73     0    93    34    85    43     4     9    17    27    95    15    21    47    82    53    40    84    93    69    53    59    85   109   114    51   117   102  ] // 25
        [    32    80    33     2    33    55    37    25    36    57    58    69    29    68    93   119   105    41    16    13    84   108    21   109    93     0    80    84   109   117    21    18    77    48    99    84    69    60    55    22   110    11    20    38    17    79     3   104     5    80    94  ] // 26
        [   100    19    68    14    45    43    76    66    51    13     3    73    14    61   115    41    94    71    83    41    62    87    99    19    34    80     0   109    22   114    80    51    66    71    24    10    86    81   115    24    36   114    90    93    24    57     4    67    12    30     5  ] // 27
        [    92    53    49    57   119    77    59     7    50    67    54    49   187     4   109    62    24    86    99    87    16    53    62    84    85    84   109     0    67    56    30    17   109    22    81    27    92    49    49    87    18    99     4    59    39    34    35    85    92    48    96  ] // 28
        [   100    96    16     8    64    57    46    35    74    65    59   110    85    89    94   118    20    53    98    30   120    39    94     5    43   109    22    67     0    15    61   102   114    82    43   109   100   106    20   102    41    28    81    32    43   117   110    87    40    21   115  ] // 29
        [    31   110    81    87    90   118    87    94   100    24    44   107    95    67    17    29    13     8    59   108    37    29    52   115     4   117   114    56    15     0    10    28    85    57    33    51    56    11    66    15    39     6    71    72    66   260     1   110    47    85    74  ] // 30
        [    29   120    19     4    41    14    51    46    45    12    57    76    47    76    69    88    12    56    41    52    85    96    63    25     9    21    80    30    61    10     0     7   114    85    36    67    95    69    31    77    62   117    85    54   118    57    50   111   107    14    17  ] // 31
        [    82   106    36    39    45    44   210    79    56    28   107    51    86    48    29     5    52    67    34    95    44   113    22     8    17    18    51    17   102    28     7     0   100    52    99    77   114    99    55    38    89    84    65   103   288    15    28    10    62    76    47  ] // 32
        [    53    79     8     6    27   173    51     9    85    74    87    82    39    70    93    72    43    52    49     3    65    56    68    94    27    77    66   109   114    85   114   100     0     7    57    16    12    99    74    11   105    70   108    21    84    59    31    26    42    11    79  ] // 33
