/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 14/01/2017 at 23:01:56
 *********************************************/

nP = 18;        // number of destination points
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 13 3 7 14 12 14 12 15 15 18 17 14 18 2 4 10 11 15 0 ];

              //  min  max
task_window = [[   67  160 ] // 1 
               [   70  110 ] // 2 
               [   89  136 ] // 3 
               [  178  212 ] // 4 
               [   70  142 ] // 5 
               [  265  349 ] // 6 
               [   66  138 ] // 7 
               [   79  154 ] // 8 
               [   91  186 ] // 9 
               [   93  171 ] // 10 
               [   78  145 ] // 11 
               [   52  106 ] // 12 
               [   75  173 ] // 13 
               [   85  127 ] // 14 
               [   99  141 ] // 15 
               [   96  176 ] // 16 
               [   38   89 ] // 17 
               [   73  158 ] // 18 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18     S 
dist = [[     0    84    38     4   105     3    97   120   120    23     1    73    64    90    30    97    54   106    91  ] // 1
        [    84     0    87    15    67    37    23   112    35    72    34    41    44    15    35   160   102    76    36  ] // 2
        [    38    87     0    11    88    68    22    40     4    35   113    19    37    23    22   118    99    22    81  ] // 3
        [     4    15    11     0    50    31   106    31    55    50    19    70    58    11    52    58     6    74    95  ] // 4
        [   105    67    88    50     0    66    76    10    71    81    49   100    42    12     1    87    57   101    74  ] // 5
        [     3    37    68    31    66     0    49    43    88    68     1    48    56     8    18   106    69    94    84  ] // 6
        [    97    23    22   106    76    49     0    14   100   107    77     9   118    95    93   105   104    28    28  ] // 7
        [   120   112    40    31    10    43    14     0    37    85   101    28    35    76   107    32    74   116     8  ] // 8
        [   120    35     4    55    71    88   100    37     0   114    66    25   110    43    19    57    97   106    79  ] // 9
        [    23    72    35    50    81    68   107    85   114     0    86    88   114    66    30    29    22    14    63  ] // 10
        [     1    34   113    19    49     1    77   101    66    86     0    56    22   119   100    95   101    91    61  ] // 11
        [    73    41    19    70   100    48     9    28    25    88    56     0     8    22    28    77   117    23    45  ] // 12
        [    64    44    37    58    42    56   118    35   110   114    22     8     0    44     8    47    44    57    35  ] // 13
        [    90    15    23    11    12     8    95    76    43    66   119    22    44     0   108    96   117    33    88  ] // 14
        [    30    35    22    52     1    18    93   107    19    30   100    28     8   108     0    46     5    83    66  ] // 15
        [    97   160   118    58    87   106   105    32    57    29    95    77    47    96    46     0    79    17    50  ] // 16
        [    54   102    99     6    57    69   104    74    97    22   101   117    44   117     5    79     0   105    13  ] // 17
        [   106    76    22    74   101    94    28   116   106    14    91    23    57    33    83    17   105     0    37  ] // 18
        [    91    36    81    95    74    84    28     8    79    63    61    45    35    88    66    50    13    37     0  ] // S
];
